F1Score,EnsembleF1Score,RandomSeed
0.484793549,0.451109551,4145
0.473679654,0.511111111,8929
0.551073897,0.554854701,6132
0.502704795,0.525366722,8595
0.553807017,0.515803208,5705
0.621925497,0.491750213,4862
0.495143576,0.570284807,4581
0.506494789,0.4076874,5722
0.547304502,0.572776549,1538
0.522698819,0.424345562,5568
0.488751497,0.482207704,3933
0.412324312,0.498712843,3561
0.462852015,0.448205128,3811
0.630341348,0.605636263,334
0.494949688,0.460668949,3164
0.45047619,0.530763935,3742
0.412846271,0.464603175,6462
0.500815688,0.461274586,5869
0.485646036,0.488031571,9564
0.462284415,0.455023742,6106
0.461292444,0.442634985,8077
0.422337874,0.368311688,7633
0.612032668,0.534199134,9118
0.583028083,0.515321637,3925
0.534535691,0.450677918,6180
0.388867779,0.402016488,5718
0.542989588,0.508014975,5213
0.364536698,0.433813395,8450
0.394233474,0.418228627,3940
0.412063492,0.51765335,9919
0.584803419,0.520663781,21
0.492530864,0.467514722,5754
0.487026455,0.478937865,1892
0.478152016,0.444070962,3518
0.44064108,0.406650964,9464
0.536975229,0.551900274,2450
0.515240794,0.459399153,6230
0.484271132,0.407354314,655
0.588983957,0.499089558,7817
0.549024024,0.551295961,2729
0.496307296,0.412198172,493
0.521578533,0.452487382,3372
0.476424962,0.424709254,8901
0.424871795,0.519609277,4777
0.519505984,0.486163934,4416
0.483696592,0.392666667,5519
0.537458783,0.514650365,1505
0.469817452,0.516085041,1882
0.549546519,0.547522447,2629
0.556732981,0.511532977,3334
0.466705277,0.49171645,7940
0.521978327,0.448028512,8868
0.463148961,0.500653595,1146
0.691165876,0.591136605,5227
0.444139194,0.456098733,6190
0.346985338,0.406036321,3916
0.516458019,0.497091797,466
0.50831075,0.450412244,6895
0.593715667,0.613989418,7057
0.41994709,0.49231746,8478
0.485521886,0.54014766,8031
0.521141946,0.566392344,6045
0.492078978,0.560912771,8084
0.420630631,0.374300096,9594
0.312064565,0.419648978,9470
0.6044997,0.483442483,7716
0.45619399,0.399987663,9738
0.439328272,0.514452249,8500
0.473574022,0.438332246,3896
0.531308559,0.452963801,7155
0.439625272,0.463424892,7889
0.447108512,0.409798851,3035
0.538513675,0.534269334,6199
0.47757623,0.47526294,4183
0.499153193,0.494939378,2821
0.618256143,0.493781125,3783
0.381607703,0.388788603,6868
0.610793651,0.436363636,9193
0.469444444,0.531471861,300
0.530758621,0.508242424,9602
0.565330901,0.524666143,3213
0.488888889,0.527293922,3230
0.531661619,0.492770665,2031
0.51968661,0.462994432,57
0.559801036,0.548384288,9973
0.638149787,0.575767196,7364
0.570025063,0.494224599,8859
0.550273561,0.483084236,1288
0.476302521,0.463308698,5037
0.47862036,0.435162602,5099
0.521627248,0.476777812,7603
0.497617707,0.481866002,6285
0.398723058,0.432053203,4152
0.456070589,0.485711068,3670
0.483415831,0.535750144,9613
0.453353383,0.48015708,5040
0.559919028,0.567102397,8889
0.506507937,0.465856457,7838
0.484848485,0.438478608,4731
0.400955718,0.391154971,53
